,گروه کالا1,گروه کالا2,support,ضریب اطمینان,lift
361,"['200057.0', '200071.0']",['200063.0'],0.021739130434782608,1.0,11.5
362,"['200063.0', '200071.0']",['200057.0'],0.021739130434782608,0.5,15.333333333333334
363,['200057.0'],"['200072.0', '200063.0']",0.010869565217391304,0.3333333333333333,10.222222222222221
364,['200063.0'],"['200057.0', '200072.0']",0.010869565217391304,0.125,11.5
365,"['200057.0', '200072.0']",['200063.0'],0.010869565217391304,1.0,11.5
366,"['200072.0', '200063.0']",['200057.0'],0.010869565217391304,0.3333333333333333,10.222222222222221
367,['200057.0'],"['200066.0', '200068.0']",0.010869565217391304,0.3333333333333333,30.666666666666664
368,['200066.0'],"['200057.0', '200068.0']",0.010869565217391304,0.5,46.0
369,['200068.0'],"['200057.0', '200066.0']",0.010869565217391304,0.125,11.5
370,"['200057.0', '200066.0']",['200068.0'],0.010869565217391304,1.0,11.5
371,"['200057.0', '200068.0']",['200066.0'],0.010869565217391304,1.0,46.0
372,"['200066.0', '200068.0']",['200057.0'],0.010869565217391304,1.0,30.666666666666668
373,['200057.0'],"['200070.0', '200071.0']",0.010869565217391304,0.3333333333333333,6.133333333333333
374,['200071.0'],"['200057.0', '200070.0']",0.010869565217391304,0.0909090909090909,8.363636363636363
375,"['200057.0', '200070.0']",['200071.0'],0.010869565217391304,1.0,8.363636363636363
376,"['200057.0', '200071.0']",['200070.0'],0.010869565217391304,0.5,2.1904761904761907
377,"['200070.0', '200071.0']",['200057.0'],0.010869565217391304,0.2,6.133333333333334
378,['200057.0'],"['200070.0', '200072.0']",0.010869565217391304,0.3333333333333333,2.7878787878787876
379,"['200057.0', '200070.0']",['200072.0'],0.010869565217391304,1.0,2.6285714285714286
380,"['200057.0', '200072.0']",['200070.0'],0.010869565217391304,1.0,4.380952380952381
381,"['200070.0', '200072.0']",['200057.0'],0.010869565217391304,0.0909090909090909,2.7878787878787876
382,['200057.0'],"['200072.0', '200071.0']",0.010869565217391304,0.3333333333333333,7.666666666666666
383,['200071.0'],"['200057.0', '200072.0']",0.010869565217391304,0.0909090909090909,8.363636363636363
384,"['200057.0', '200072.0']",['200071.0'],0.010869565217391304,1.0,8.363636363636363
385,"['200072.0', '200071.0']",['200057.0'],0.010869565217391304,0.25,7.666666666666667
386,['200058.0'],"['200069.0', '200065.0']",0.010869565217391304,0.1111111111111111,3.4074074074074074
387,['200065.0'],"['200069.0', '200058.0']",0.010869565217391304,0.05263157894736842,4.842105263157895
388,['200069.0'],"['200058.0', '200065.0']",0.010869565217391304,0.2,6.133333333333334
389,"['200058.0', '200065.0']",['200069.0'],0.010869565217391304,0.3333333333333333,6.133333333333333
390,"['200069.0', '200058.0']",['200065.0'],0.010869565217391304,1.0,4.842105263157895
391,"['200069.0', '200065.0']",['200058.0'],0.010869565217391304,0.3333333333333333,3.407407407407407
392,['200058.0'],"['200072.0', '200065.0']",0.010869565217391304,0.1111111111111111,2.5555555555555554
393,"['200072.0', '200065.0']",['200058.0'],0.010869565217391304,0.25,2.5555555555555554
394,['200059.0'],"['200065.0', '200062.0']",0.010869565217391304,0.2,9.200000000000001
395,['200062.0'],"['200065.0', '200059.0']",0.010869565217391304,0.1,9.200000000000001
396,['200065.0'],"['200059.0', '200062.0']",0.010869565217391304,0.05263157894736842,4.842105263157895
397,"['200059.0', '200062.0']",['200065.0'],0.010869565217391304,1.0,4.842105263157895
398,"['200065.0', '200059.0']",['200062.0'],0.010869565217391304,1.0,9.200000000000001
399,"['200065.0', '200062.0']",['200059.0'],0.010869565217391304,0.5,9.200000000000001
400,['200059.0'],"['200069.0', '200062.0']",0.010869565217391304,0.2,18.400000000000002
401,['200062.0'],"['200069.0', '200059.0']",0.010869565217391304,0.1,9.200000000000001
402,['200069.0'],"['200059.0', '200062.0']",0.010869565217391304,0.2,18.400000000000002
403,"['200059.0', '200062.0']",['200069.0'],0.010869565217391304,1.0,18.400000000000002
404,"['200069.0', '200059.0']",['200062.0'],0.010869565217391304,1.0,9.200000000000001
405,"['200069.0', '200062.0']",['200059.0'],0.010869565217391304,1.0,18.400000000000002
406,['200059.0'],"['200070.0', '200062.0']",0.010869565217391304,0.2,18.400000000000002
407,['200062.0'],"['200070.0', '200059.0']",0.010869565217391304,0.1,3.066666666666667
408,"['200059.0', '200062.0']",['200070.0'],0.010869565217391304,1.0,4.380952380952381
409,"['200070.0', '200059.0']",['200062.0'],0.010869565217391304,0.3333333333333333,3.0666666666666664
410,"['200070.0', '200062.0']",['200059.0'],0.010869565217391304,1.0,18.400000000000002
411,['200059.0'],"['200072.0', '200062.0']",0.010869565217391304,0.2,9.200000000000001
412,['200062.0'],"['200072.0', '200059.0']",0.010869565217391304,0.1,3.066666666666667
413,"['200059.0', '200062.0']",['200072.0'],0.010869565217391304,1.0,2.6285714285714286
414,"['200072.0', '200059.0']",['200062.0'],0.010869565217391304,0.3333333333333333,3.0666666666666664
415,"['200072.0', '200062.0']",['200059.0'],0.010869565217391304,0.5,9.200000000000001
416,['200059.0'],"['200069.0', '200065.0']",0.010869565217391304,0.2,6.133333333333334
